Category: All categories

Month,ChatGPT: (Worldwide),Google Search: (Worldwide)
2004-01,0,8
2004-02,0,8
2004-03,0,9
2004-04,0,9
2004-05,0,9
2004-06,0,8
2004-07,0,9
2004-08,0,9
2004-09,0,9
2004-10,0,9
2004-11,0,10
2004-12,0,10
2005-01,0,10
2005-02,0,10
2005-03,0,10
2005-04,0,11
2005-05,0,11
2005-06,0,11
2005-07,0,12
2005-08,0,12
2005-09,0,13
2005-10,0,14
2005-11,0,14
2005-12,0,15
2006-01,0,16
2006-02,0,15
2006-03,0,16
2006-04,0,16
2006-05,0,16
2006-06,0,16
2006-07,0,17
2006-08,0,17
2006-09,0,20
2006-10,0,20
2006-11,0,20
2006-12,0,22
2007-01,0,21
2007-02,0,24
2007-03,0,22
2007-04,0,24
2007-05,0,24
2007-06,0,24
2007-07,0,23
2007-08,0,24
2007-09,0,25
2007-10,0,25
2007-11,0,26
2007-12,0,27
2008-01,0,26
2008-02,0,27
2008-03,0,27
2008-04,0,25
2008-05,0,26
2008-06,0,28
2008-07,0,26
2008-08,0,26
2008-09,0,32
2008-10,0,28
2008-11,0,29
2008-12,0,29
2009-01,0,30
2009-02,0,31
2009-03,0,31
2009-04,0,30
2009-05,0,31
2009-06,0,29
2009-07,0,28
2009-08,0,28
2009-09,0,31
2009-10,0,31
2009-11,0,32
2009-12,0,32
2010-01,0,33
2010-02,0,33
2010-03,0,32
2010-04,0,33
2010-05,0,34
2010-06,0,33
2010-07,0,33
2010-08,0,33
2010-09,0,36
2010-10,0,36
2010-11,0,38
2010-12,0,40
2011-01,0,39
2011-02,0,39
2011-03,0,45
2011-04,0,46
2011-05,0,48
2011-06,0,49
2011-07,0,46
2011-08,0,49
2011-09,0,53
2011-10,0,54
2011-11,0,55
2011-12,0,54
2012-01,0,53
2012-02,0,54
2012-03,0,55
2012-04,0,55
2012-05,0,55
2012-06,0,56
2012-07,0,56
2012-08,0,57
2012-09,0,60
2012-10,0,73
2012-11,0,77
2012-12,0,82
2013-01,0,87
2013-02,0,86
2013-03,0,89
2013-04,0,88
2013-05,0,91
2013-06,0,98
2013-07,0,96
2013-08,0,90
2013-09,0,100
2013-10,0,95
2013-11,0,95
2013-12,0,96
2014-01,0,97
2014-02,0,97
2014-03,0,89
2014-04,0,90
2014-05,0,92
2014-06,0,91
2014-07,0,88
2014-08,0,93
2014-09,0,92
2014-10,0,95
2014-11,0,91
2014-12,0,87
2015-01,0,88
2015-02,0,90
2015-03,0,87
2015-04,0,85
2015-05,0,88
2015-06,0,76
2015-07,0,80
2015-08,0,82
2015-09,0,83
2015-10,0,78
2015-11,0,75
2015-12,0,76
2016-01,0,69
2016-02,0,67
2016-03,0,68
2016-04,0,64
2016-05,0,65
2016-06,0,61
2016-07,0,59
2016-08,0,62
2016-09,0,60
2016-10,0,59
2016-11,0,15
2016-12,0,14
2017-01,0,10
2017-02,0,9
2017-03,0,10
2017-04,0,13
2017-05,0,11
2017-06,0,11
2017-07,0,7
2017-08,0,9
2017-09,0,11
2017-10,0,11
2017-11,0,8
2017-12,0,3
2018-01,0,2
2018-02,0,4
2018-03,0,78
2018-04,0,94
2018-05,0,91
2018-06,0,62
2018-07,0,51
2018-08,0,48
2018-09,0,41
2018-10,0,42
2018-11,0,37
2018-12,0,30
2019-01,0,25
2019-02,0,31
2019-03,0,40
2019-04,0,23
2019-05,0,20
2019-06,0,17
2019-07,0,30
2019-08,0,28
2019-09,0,27
2019-10,0,25
2019-11,0,25
2019-12,0,25
2020-01,0,26
2020-02,0,26
2020-03,0,24
2020-04,0,25
2020-05,0,24
2020-06,0,23
2020-07,0,18
2020-08,0,19
2020-09,0,17
2020-10,0,9
2020-11,0,6
2020-12,0,9
2021-01,0,5
2021-02,0,9
2021-03,0,9
2021-04,0,6
2021-05,0,8
2021-06,0,7
2021-07,0,13
2021-08,0,10
2021-09,0,9
2021-10,0,6
2021-11,0,6
2021-12,0,5
2022-01,0,6
2022-02,0,5
2022-03,0,6
2022-04,0,5
2022-05,0,6
2022-06,0,6
2022-07,0,5
2022-08,0,4
2022-09,0,6
2022-10,0,26
2022-11,0,20
2022-12,0,20
2023-01,0,22
2023-02,0,15
2023-03,0,13
2023-04,0,9
2023-05,0,9
2023-06,4,7
2023-07,9,7
2023-08,9,5
2023-09,11,4
2023-10,12,3
2023-11,13,4
2023-12,12,8
2024-01,12,8
2024-02,14,7
2024-03,14,6
2024-04,15,6
2024-05,18,4
2024-06,16,6
2024-07,13,7
2024-08,16,5
2024-09,21,3
2024-10,26,4
2024-11,27,3
2024-12,25,4
2025-01,26,6
2025-02,33,6
2025-03,34,4
2025-04,41,3
2025-05,41,3
2025-06,42,5
2025-07,44,5
2025-08,46,5
2025-09,49,5
2025-10,51,7
2025-11,50,7
